"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"República Centroafricana","CAF","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","386145933900","384019875800","369622984500","356802981300","461029780000","546264381800","504755316900","538144979800","559632906600","610363587600","641801127700","677334987300","684658050200","660805571500","663665979200","700024471900","757714338600.002","808461643000.002","878813068799.997","969523912700","1064913462400","1153480453300","1287290235800","842942967400.002","945306753000.001","1015039667800","1095005850100","1264633000000","1325709299800","1397997427600","1414092781100","",
"Canadá","CAN","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","878793000000","908903000000","974002000000","1077050000000","1112316000000","1163490000000","1223883000000","1306941000000","1392523000000","1472788000000","1554438000000","1632695000000","1544278000000","1633120000000","1740554000000","1794779000000","1873275000000","1962663000000","1959949000000","2000787999999.99","2113418000000","2197663000000","2281604999999.99","2182121000000","",
"Europa Central y del Báltico","CEB","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Suiza","CHE","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","426739934000","431114340000","446089389000","460622308000","472194311000","502449036000","502532092000","495036739000","519578505000","534099485000","565483376000","595785887000","594838645000","577294759000","617314629000","663754913000","646945259000","662068269000","673483674000","673985066000","684052923000","682558147000","684300456000","690513051000","701070795000","680928572000","",
"Islas del Canal","CHI","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3644000000","3836000000","4126000000","4224000000","4325000000","4394000000","4527000000","4682000000","5003000000","5442000000","","","","","","","","","","","","","","",
"Chile","CHL","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9559996395700.01","12528260666500","15969389886300","19234992966000","22881524140800","28035197313200","31140346439800.1","34526270824416.3","36704368583387","37154653163864.2","40528977747447.4","43577049112340.2","46181735524623.7","49118517513494.6","55513457101251.4","62874928603562.2","72123146067135.5","80585926125906.5","86550405189493","90089408254894","103639271033168","113307322019488","123149059043547","130902279729109","142905861822963","154746895330059","164247057866790","172315384750248","182190140025405","189280359600733","191843945422898","",
"China","CHN","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1892333158720","2205034417800","2720820710800","3559924627800","4854816060200","6035664459700","7077959253300","7880286225600","8381755802600","8936648242200","9906606709100","10927615244900","12048041483800","13657625062500","16141542777200","18599890870900","21902845445600","27070401701700","32122952447600","34793488315900","41035411014100","48339279474500","53732900779800","58814121119000","64438015191400","68557120000000","74269410000000.4","83094570000000.1","91524350000000.3","98375120000000.1","100878250000000","",
"Côte d'Ivoire","CIV","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3939931344393.04","4015939648022.11","4034725429621.77","4265179664157.37","6435586932237.98","7673923213371.96","5733433981475.49","6413036586084.01","7081854209434.52","7220016608926.76","6906885063710.38","7255226995839.2","7521469671809.03","7555445974806.25","7788579872666.64","8667806270600","8936858566300.01","9362656960000","10445985336400","11022146570500","11872880916700","11510377231200","13237020447100","14748723307300","23667592040516.2","26490650000000","27785874000000","29063010000000","30999000000000","33382632927800","34230935499000","",
"Camerún","CMR","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3643447451137.4","3564795288692.61","3428189881191.59","4451736942835.04","4950244232337.11","5330738536462.18","5568353688534.52","6178490874387.97","6605760513620.17","6843246357600","7081946879700","7512231288600","8145058028200","8955672925500","9715044773600","10028941863800","10792382316600","11213065667600","12176192496000","13083009740700","13479803550400","14291719268600","15168464011800","16352553318900","17822997132600","18784766557100","19707566000000","20576865000000.1","21792328999999.9","22749661999999.9","22977470000000.1","",
"Congo, República Democrática del","COD","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61265299.9999999","342628400","2709210100","7466740100","9361695900","47096192600","1290285399400","2118545268900","2922696023100","3531387692700","3990497612700","5429574626900","6547576764699.97","8321161968899.97","10323778562900","14464861346300","18711588515200","22567355082100","25486458820200","27466170950900","30411327278600","32526868028900","36719824391700","54103884393100","74416033408900","80677172141700","87824807360700.1","",
